#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+0.072         +0.420          eV/angstrom    0.154    0.0104    0.053     3     0     forces('Ar32_frame003')
-0.008         -0.039          eV/angstrom    0.154    0.0104    0.000     3     1     forces('Ar32_frame003')
+0.099         +0.511          eV/angstrom    0.154    0.0104    0.074     3     2     forces('Ar32_frame003')
+0.230         +1.146          eV/angstrom    0.154    0.0104    0.367     4     0     forces('Ar32_frame003')
-0.078         -0.330          eV/angstrom    0.154    0.0104    0.028     4     1     forces('Ar32_frame003')
+0.269         +1.316          eV/angstrom    0.154    0.0104    0.479     4     2     forces('Ar32_frame003')
-0.103         -0.521          eV/angstrom    0.154    0.0104    0.076     5     0     forces('Ar32_frame003')
+0.067         +0.353          eV/angstrom    0.154    0.0104    0.036     5     1     forces('Ar32_frame003')
+0.115         +0.534          eV/angstrom    0.154    0.0104    0.077     5     2     forces('Ar32_frame003')
-0.054         -0.273          eV/angstrom    0.154    0.0104    0.021     6     0     forces('Ar32_frame003')
-0.109         -0.538          eV/angstrom    0.154    0.0104    0.081     6     1     forces('Ar32_frame003')
+0.094         +0.453          eV/angstrom    0.154    0.0104    0.056     6     2     forces('Ar32_frame003')
-0.118         -0.630          eV/angstrom    0.154    0.0104    0.115     7     0     forces('Ar32_frame003')
+0.038         +0.144          eV/angstrom    0.154    0.0104    0.005     7     1     forces('Ar32_frame003')
+0.050         +0.303          eV/angstrom    0.154    0.0104    0.028     7     2     forces('Ar32_frame003')
-0.034         -0.162          eV/angstrom    0.154    0.0104    0.007     8     0     forces('Ar32_frame003')
+0.082         +0.393          eV/angstrom    0.154    0.0104    0.043     8     1     forces('Ar32_frame003')
-0.024         -0.099          eV/angstrom    0.154    0.0104    0.002     8     2     forces('Ar32_frame003')
-0.058         -0.246          eV/angstrom    0.154    0.0104    0.015     9     0     forces('Ar32_frame003')
-0.029         -0.110          eV/angstrom    0.154    0.0104    0.003     9     1     forces('Ar32_frame003')
-0.078         -0.389          eV/angstrom    0.154    0.0104    0.042     9     2     forces('Ar32_frame003')
+0.063         +0.363          eV/angstrom    0.154    0.0104    0.039     10    0     forces('Ar32_frame003')
+0.034         +0.206          eV/angstrom    0.154    0.0104    0.013     10    1     forces('Ar32_frame003')
-0.045         -0.247          eV/angstrom    0.154    0.0104    0.018     10    2     forces('Ar32_frame003')
+0.670         +3.369          eV/angstrom    0.154    0.0104    3.190     11    0     forces('Ar32_frame003')
-0.414         -2.085          eV/angstrom    0.154    0.0104    1.222     11    1     forces('Ar32_frame003')
+0.203         +1.013          eV/angstrom    0.154    0.0104    0.287     11    2     forces('Ar32_frame003')
+0.014         +0.061          eV/angstrom    0.154    0.0104    0.001     12    0     forces('Ar32_frame003')
-0.072         -0.434          eV/angstrom    0.154    0.0104    0.058     12    1     forces('Ar32_frame003')
-0.045         -0.270          eV/angstrom    0.154    0.0104    0.022     12    2     forces('Ar32_frame003')
-0.106         -0.498          eV/angstrom    0.154    0.0104    0.067     13    0     forces('Ar32_frame003')
+0.230         +1.150          eV/angstrom    0.154    0.0104    0.371     13    1     forces('Ar32_frame003')
-0.193         -0.912          eV/angstrom    0.154    0.0104    0.226     13    2     forces('Ar32_frame003')
+0.141         +0.639          eV/angstrom    0.154    0.0104    0.109     14    0     forces('Ar32_frame003')
+0.328         +1.682          eV/angstrom    0.154    0.0104    0.803     14    1     forces('Ar32_frame003')
-0.189         -0.885          eV/angstrom    0.154    0.0104    0.212     14    2     forces('Ar32_frame003')
+0.005         -0.018          eV/angstrom    0.154    0.0104    0.000     15    0     forces('Ar32_frame003')
-0.021         -0.118          eV/angstrom    0.154    0.0104    0.004     15    1     forces('Ar32_frame003')
+0.050         +0.295          eV/angstrom    0.154    0.0104    0.026     15    2     forces('Ar32_frame003')
-0.008         -0.028          eV/angstrom    0.154    0.0104    0.000     16    0     forces('Ar32_frame003')
-0.067         -0.316          eV/angstrom    0.154    0.0104    0.027     16    1     forces('Ar32_frame003')
+0.004         +0.038          eV/angstrom    0.154    0.0104    0.001     16    2     forces('Ar32_frame003')
+0.015         +0.113          eV/angstrom    0.154    0.0104    0.004     17    0     forces('Ar32_frame003')
-0.015         -0.058          eV/angstrom    0.154    0.0104    0.001     17    1     forces('Ar32_frame003')
+0.033         +0.202          eV/angstrom    0.154    0.0104    0.012     17    2     forces('Ar32_frame003')
+0.039         +0.194          eV/angstrom    0.154    0.0104    0.011     18    0     forces('Ar32_frame003')
-0.092         -0.486          eV/angstrom    0.154    0.0104    0.068     18    1     forces('Ar32_frame003')
+0.017         +0.087          eV/angstrom    0.154    0.0104    0.002     18    2     forces('Ar32_frame003')
+0.194         +0.956          eV/angstrom    0.154    0.0104    0.254     19    0     forces('Ar32_frame003')
-0.356         -1.771          eV/angstrom    0.154    0.0104    0.876     19    1     forces('Ar32_frame003')
+0.057         +0.293          eV/angstrom    0.154    0.0104    0.024     19    2     forces('Ar32_frame003')
+0.067         +0.313          eV/angstrom    0.154    0.0104    0.027     20    0     forces('Ar32_frame003')
-0.032         -0.123          eV/angstrom    0.154    0.0104    0.004     20    1     forces('Ar32_frame003')
-0.192         -0.983          eV/angstrom    0.154    0.0104    0.274     20    2     forces('Ar32_frame003')
-0.308         -1.497          eV/angstrom    0.154    0.0104    0.618     21    0     forces('Ar32_frame003')
+0.387         +1.867          eV/angstrom    0.154    0.0104    0.959     21    1     forces('Ar32_frame003')
+0.012         +0.078          eV/angstrom    0.154    0.0104    0.002     21    2     forces('Ar32_frame003')
-0.019         -0.052          eV/angstrom    0.154    0.0104    0.000     22    0     forces('Ar32_frame003')
-0.039         -0.242          eV/angstrom    0.154    0.0104    0.018     22    1     forces('Ar32_frame003')
+0.021         +0.077          eV/angstrom    0.154    0.0104    0.001     22    2     forces('Ar32_frame003')
+0.073         +0.363          eV/angstrom    0.154    0.0104    0.037     23    0     forces('Ar32_frame003')
+0.008         +0.022          eV/angstrom    0.154    0.0104    0.000     23    1     forces('Ar32_frame003')
-0.041         -0.215          eV/angstrom    0.154    0.0104    0.013     23    2     forces('Ar32_frame003')
-0.057         -0.378          eV/angstrom    0.154    0.0104    0.045     24    0     forces('Ar32_frame003')
-0.001         -0.031          eV/angstrom    0.154    0.0104    0.000     24    1     forces('Ar32_frame003')
-0.032         -0.167          eV/angstrom    0.154    0.0104    0.008     24    2     forces('Ar32_frame003')
+0.094         +0.461          eV/angstrom    0.154    0.0104    0.059     25    0     forces('Ar32_frame003')
+0.018         +0.025          eV/angstrom    0.154    0.0104    0.000     25    1     forces('Ar32_frame003')
+0.059         +0.269          eV/angstrom    0.154    0.0104    0.019     25    2     forces('Ar32_frame003')
-0.009         -0.104          eV/angstrom    0.154    0.0104    0.004     26    0     forces('Ar32_frame003')
+0.091         +0.476          eV/angstrom    0.154    0.0104    0.065     26    1     forces('Ar32_frame003')
-0.021         -0.118          eV/angstrom    0.154    0.0104    0.004     26    2     forces('Ar32_frame003')
+0.066         +0.324          eV/angstrom    0.154    0.0104    0.029     27    0     forces('Ar32_frame003')
+0.151         +0.785          eV/angstrom    0.154    0.0104    0.176     27    1     forces('Ar32_frame003')
+0.085         +0.366          eV/angstrom    0.154    0.0104    0.035     27    2     forces('Ar32_frame003')
-0.085         -0.460          eV/angstrom    0.154    0.0104    0.062     28    0     forces('Ar32_frame003')
-0.042         -0.243          eV/angstrom    0.154    0.0104    0.018     28    1     forces('Ar32_frame003')
+0.023         +0.125          eV/angstrom    0.154    0.0104    0.005     28    2     forces('Ar32_frame003')
+0.049         +0.261          eV/angstrom    0.154    0.0104    0.020     29    0     forces('Ar32_frame003')
-0.259         -1.288          eV/angstrom    0.154    0.0104    0.463     29    1     forces('Ar32_frame003')
+0.079         +0.378          eV/angstrom    0.154    0.0104    0.039     29    2     forces('Ar32_frame003')
-0.127         -0.618          eV/angstrom    0.154    0.0104    0.105     30    0     forces('Ar32_frame003')
+0.034         +0.176          eV/angstrom    0.154    0.0104    0.009     30    1     forces('Ar32_frame003')
-0.353         -1.712          eV/angstrom    0.154    0.0104    0.808     30    2     forces('Ar32_frame003')
