s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_LJ AIR
 2.4632584E-001, 0.0000000E+000, 0.0000000E+000,-3.5882408E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8545512E-015, 5.4744614E-016, 5.7646669E-003
 2.4757041E-001, 0.0000000E+000, 0.0000000E+000,-3.7303494E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5636537E-015, 5.3323528E-016, 5.7927926E-003
 2.4881499E-001, 0.0000000E+000, 0.0000000E+000,-3.6237680E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8545512E-015, 5.4389342E-016, 5.8209014E-003
 2.5005957E-001, 0.0000000E+000, 0.0000000E+000,-3.9079850E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1547171E-016, 5.8489932E-003
 2.5130415E-001, 0.0000000E+000, 0.0000000E+000,-3.7303494E-016, 9.0335617E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3032123E-016, 5.8770680E-003
 2.5254872E-001, 0.0000000E+000, 0.0000000E+000,-3.7303494E-016, 9.0335617E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8545512E-015, 5.3032123E-016, 5.9051256E-003
 2.5379330E-001, 0.0000000E+000, 0.0000000E+000,-4.1211479E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9415543E-016, 5.9331661E-003
 2.5503787E-001, 0.0000000E+000, 0.0000000E+000,-3.9079850E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1547171E-016, 5.9611893E-003
 2.5628245E-001, 0.0000000E+000, 0.0000000E+000,-4.0500936E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8545512E-015, 5.0126086E-016, 5.9891952E-003
 2.5740170E-001, 0.0000000E+000, 0.0000000E+000,-3.8369308E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2257714E-016, 6.0171837E-003
