s,Pa,m/s,
Time,"pres","error","iter"
 4.5011865E-001, 4.9041530E-002, 3.4292810E-005, 1.0000000E+000
 4.5230859E-001, 4.8965889E-002, 3.5444332E-005, 1.0000000E+000
 4.5449853E-001, 4.8874927E-002, 3.6933665E-005, 1.0000000E+000
 4.5668847E-001, 4.8783751E-002, 3.8495149E-005, 1.0000000E+000
 4.5814843E-001, 4.8707614E-002, 3.9737631E-005, 1.0000000E+000
 4.6033838E-001, 4.8631322E-002, 4.0837216E-005, 1.0000000E+000
 4.6252832E-001, 4.8539588E-002, 4.1980854E-005, 1.0000000E+000
 4.6471826E-001, 4.8447649E-002, 4.2994847E-005, 1.0000000E+000
 4.6617822E-001, 4.8370883E-002, 4.3797644E-005, 1.0000000E+000
 4.6836816E-001, 4.8293969E-002, 4.4580510E-005, 1.0000000E+000
 4.7055810E-001, 4.8201496E-002, 4.5480137E-005, 1.0000000E+000
 4.7201806E-001, 4.8124291E-002, 4.6173348E-005, 1.0000000E+000
 4.7420800E-001, 4.8046942E-002, 4.6798140E-005, 1.0000000E+000
 4.7639794E-001, 4.7953954E-002, 4.7484592E-005, 1.0000000E+000
 4.7858789E-001, 4.7860777E-002, 4.8145589E-005, 1.0000000E+000
 4.8004785E-001, 4.7782992E-002, 4.8709819E-005, 1.0000000E+000
 4.8201763E-001, 4.7713709E-002, 3.6259371E-005, 1.0000000E+000
 4.8464400E-001, 4.7615426E-002, 3.8931483E-005, 1.0000000E+000
 4.8661378E-001, 4.7516954E-002, 4.1623679E-005, 1.0000000E+000
 4.8858356E-001, 4.7432390E-002, 4.2470906E-005, 1.0000000E+000
 4.9055334E-001, 4.7347684E-002, 4.3364001E-005, 1.0000000E+000
 4.9252312E-001, 4.7262838E-002, 4.3812664E-005, 1.0000000E+000
 4.9449290E-001, 4.7177855E-002, 4.3946794E-005, 1.0000000E+000
 4.9646268E-001, 4.7092737E-002, 4.4286827E-005, 1.0000000E+000
 4.9843247E-001, 4.7007486E-002, 4.5231752E-005, 1.0000000E+000
 5.0040225E-001, 4.6922101E-002, 4.6675612E-005, 1.0000000E+000
 5.0237203E-001, 4.6836586E-002, 4.8094743E-005, 1.0000000E+000
 5.0434181E-001, 4.6750943E-002, 4.9103103E-005, 1.0000000E+000
 5.0631159E-001, 4.6665173E-002, 4.9846210E-005, 1.0000000E+000
 5.0828137E-001, 4.6579278E-002, 5.0751090E-005, 1.0000000E+000
